iters ap
360000 18.1
460000 18.8
470000 19.0
480000 18.8
490000 18.5
500000 18.5
510000 18.8
520000 18.9
530000 18.7
540000 19.0
550000 19.1
370000 17.9
560000 19.3
570000 18.4
580000 18.7
590000 19.0
600000 18.5
610000 17.6
620000 19.5
630000 19.2
640000 19.5
650000 19.0
380000 18.5
660000 19.0
670000 19.0
680000 20.0
690000 19.2
700000 19.5
390000 18.7
400000 18.2
410000 18.7
420000 18.8
430000 18.5
440000 18.5
800000 19.9
710000 18.8
810000 19.5
820000 19.1
830000 19.3
840000 19.4
850000 18.9
860000 19.8
870000 19.1
880000 19.6
890000 19.4
900000 19.7
720000 19.0
920000 19.5
730000 19.4
740000 19.1
750000 18.7
760000 19.2
